"comparison","feature_set","feature","coef","stderr","pval","qval","N","N.not.0"
"eoCRC_vs_YoungCtrl","species","species..Clostridium..leptum",0.174892084968415,0.195857249750258,0.372976823848401,0.683790843722069,199,119
"eoCRC_vs_YoungCtrl","species","species.Coprobacter.fastidiosus",-0.199108226764917,0.225977962013509,0.379340242232914,0.685501816054209,199,63
"eoCRC_vs_YoungCtrl","species","species.Bacteroides.faecis",-0.179764044354045,0.204367718926901,0.380141916175516,0.685501816054209,199,27
"eoCRC_vs_YoungCtrl","species","species.Alistipes.onderdonkii",0.149750918102875,0.175314073246013,0.39404367547449,0.704793565889332,199,32
"eoCRC_vs_YoungCtrl","species","species.Lactococcus.lactis",-0.108112668779436,0.129184062324115,0.40368209742187,0.705207914212709,199,25
"eoCRC_vs_YoungCtrl","species","species.Sellimonas.intestinalis",-0.185786178108804,0.222099435008228,0.403891805412733,0.705207914212709,199,73
"eoCRC_vs_YoungCtrl","species","species.Lacrimispora.saccharolytica",-0.178573380200559,0.210829938233947,0.3980220065382,0.705207914212709,199,57
"eoCRC_vs_YoungCtrl","species","species.Eubacterium.sp..CAG.180",0.231639327894622,0.279174218456705,0.407698441914955,0.706249269458977,199,57
"eoCRC_vs_YoungCtrl","species","species.Phocaeicola.plebeius",0.254407189130184,0.310236413044763,0.41318289281672,0.710101675293427,199,56
"eoCRC_vs_YoungCtrl","species","species.Parabacteroides.goldsteinii",0.170279656538626,0.209075579135088,0.416377800512964,0.710101675293427,199,47
"eoCRC_vs_YoungCtrl","species","species..Eubacterium..rectale",0.225711887204075,0.28290328689761,0.425932538023058,0.717051632480584,199,146
"eoCRC_vs_YoungCtrl","species","species.Bacteroides.salyersiae",0.140935266378052,0.179404651031402,0.433062083165988,0.717051632480584,199,21
"eoCRC_vs_YoungCtrl","species","species.Faecalitalea.cylindroides",0.13033259247968,0.166062675118526,0.433490305090535,0.717051632480584,199,29
"eoCRC_vs_YoungCtrl","species","species.Ruminococcaceae.bacterium.D5",0.109671289735128,0.138152040249377,0.428245627157279,0.717051632480584,199,23
"eoCRC_vs_YoungCtrl","species","species.Parabacteroides.merdae",0.229467614282167,0.294946684922698,0.437504193266495,0.718290466556933,199,139
"eoCRC_vs_YoungCtrl","species","species.Eggerthella.lenta",-0.167842643679323,0.219095682025901,0.444567419768995,0.719504302559357,199,134
"eoCRC_vs_YoungCtrl","species","species.Ligilactobacillus.salivarius",-0.0612831552456726,0.0800355403752419,0.444784477945785,0.719504302559357,199,8
"eoCRC_vs_YoungCtrl","species","species.Clostridium.sp..CAG.299",-0.156659703172932,0.20685658424412,0.449755684952698,0.722235406493384,199,31
"eoCRC_vs_YoungCtrl","species","species.Megamonas.hypermegale",-0.123289132830101,0.166234406794378,0.45918217888393,0.726763160823486,199,25
"eoCRC_vs_YoungCtrl","species","species.Prevotella.stercorea",-0.156855556218278,0.211292917198948,0.45876961148419,0.726763160823486,199,26
